id,title,description,is_official,user_id,created_at
a277bb64-c685-43ce-a0c5-040d703ae3a7,Negligence: Damages & Defenses,"Contributory/Comparative Negligence, Assumption of Risk",false,,2025-03-18 17:28:17.087698+00
ad370e15-c4c0-4a05-a37d-e3b31177584d,Landlord-Tenant Law,"Lease Types, Rights & Duties, Eviction",false,,2025-03-18 17:28:17.087698+00
b2a60ad7-2fb8-4832-af40-3215419c3e87,Defenses to Formation,"Statute of Frauds, Mistake, Duress, etc.",false,,2025-03-18 17:28:17.087698+00
b32591c9-3fe6-4bd0-9396-a0ac3eea590b,Elements of a Crime,"Actus Reus, Mens Rea, Causation, Concurrence",false,,2025-03-18 17:28:17.087698+00
b472ade7-51d2-4e95-bc60-d40aff9dcd51,Sixth Amendment,"Right to Counsel, Speedy Trial, Confrontation",false,,2025-03-18 17:28:17.087698+00
b56c2faf-6b23-4aec-9828-004b2724f88f,Individual Rights: Due Process,Substantive & Procedural,false,,2025-03-18 17:28:17.087698+00
b9d65ab0-95f2-49c0-8c2f-279941c19e7e,"First Amendment: Speech, Press, and Association",,false,,2025-03-18 17:28:17.087698+00
c295fe48-8d61-40ba-b007-27111043aafc,Client-Lawyer Relationship,"Formation, Scope, Termination",false,,2025-03-18 17:28:17.087698+00
c2afb3d5-bd7d-45fc-a6aa-dcd475280fca,First Amendment: Religion,Establishment Clause & Free Exercise Clause,false,,2025-03-18 17:28:17.087698+00
c5a1bf33-7c91-4bd6-85aa-3a861d99723c,Mortgages & Foreclosure,,false,,2025-03-18 17:28:17.087698+00
c737791b-a841-477d-8f08-e1e9e4894938,Contract Terms & Interpretation,"Parol Evidence Rule, Conditions",false,,2025-03-18 17:28:17.087698+00
c968c4df-cf1b-44a0-96b5-e98c719eee37,Advertising & Solicitation,,false,,2025-03-18 17:28:17.087698+00
db3ef523-70c6-4436-afa8-51d39d975b76,Adoption & Parentage,,false,,2025-03-18 17:28:17.087698+00
ddf8da61-abd4-4852-89e6-487561c1b48e,Personal Jurisdiction & Venue,,false,,2025-03-18 17:28:17.087698+00
de7b08f8-aa70-4f44-8895-4784908cb4b7,Hearsay: Definition & Exemptions,Non-Hearsay Uses,false,,2025-03-18 17:28:17.087698+00
e0c00200-edb7-4cda-8e28-4c08c6a83786,Agency,"Creation, Authority, Liability",false,,2025-03-18 17:28:17.087698+00
e1b8af2a-e7aa-443e-ab45-1d6c79404f0a,Writings,,false,,2025-03-18 17:28:17.087698+00
eac05dbd-89a1-4eef-97b0-9e0f4af0b853,Intestate Succession,,false,,2025-03-18 17:28:17.087698+00
ee7debca-3ee3-4c56-94d4-910d63bd8538,Most Significant Relationship,,false,,2025-03-18 17:28:17.087698+00
f16d8fd2-b107-4964-9400-0b0c7dc65f97,State Action & Government Regulation,"Commerce Clause, Taxing & Spending Power",false,,2025-03-18 17:28:17.087698+00
f2665e1b-3988-4a9c-8a65-8206777e2477,Governmental Interest,,false,,2025-03-18 17:28:17.087698+00
f401c5f9-62dc-493c-b3c6-45c9f33992ab,Fees & Client Funds,,false,,2025-03-18 17:28:17.087698+00
fb60ac58-7722-46e1-868f-9aa2305fd957,Conflicts of Interest,"Current Clients, Former Clients, Imputed Conflicts",false,,2025-03-18 17:28:17.087698+00
fcd885b7-66fb-49df-b25c-6d5ab1f1108a,Nuisance,,false,,2025-03-18 17:28:17.087698+00
